# x_m,y_m,w_tr_right_m,w_tr_left_m
798.9268041,1080.03051,3.580172647,5.224129034
797.1944662,1078.494655,3.595480598,5.200001362
795.4631662,1076.957309,3.615234701,5.174067063
793.7328389,1075.418558,3.639144814,5.146433602
792.0034191,1073.878489,3.664645498,5.117208489
790.2748417,1072.337188,3.691628395,5.086499288
788.5470413,1070.794741,3.719985158,5.058909689
786.8199529,1069.251235,3.749607447,5.036196576
785.0935112,1067.706757,3.780718638,5.012324457
783.367651,1066.161393,3.817493715,4.987401025
781.6423071,1064.61523,3.855209425,4.961534015
779.9174142,1063.068353,3.893757442,4.934831204
778.1929073,1061.52085,3.933029448,4.907400411
776.468721,1059.972807,3.972917138,4.879349496
774.7447902,1058.42431,4.013312226,4.850003477
773.0210496,1056.875447,4.054106439,4.81742444
771.2974342,1055.326302,4.096489437,4.784548568
769.5738785,1053.776964,4.140304071,4.751483897
767.8503175,1052.227518,4.184193012,4.718338498
766.126686,1050.678051,4.228048056,4.685220471
764.4029187,1049.128649,4.271761022,4.652237949
762.6789504,1047.579399,4.315223764,4.612583379
760.954716,1046.030387,4.349978322,4.57280315
759.2301502,1044.4817,4.363759765,4.533482311
757.5051877,1042.933425,4.376969391,4.494729156
755.7797635,1041.385647,4.389499392,4.456651996
754.0538123,1039.838453,4.401241991,4.419359165
752.3272689,1038.29193,4.412089443,4.38295901
750.6000681,1036.746165,4.421934037,4.353729593
748.8721447,1035.201243,4.457256989,4.339935758
747.1434335,1033.657251,4.496589872,4.32736078
745.41387,1032.114275,4.534594396,4.316111778
743.6834235,1030.572358,4.571221212,4.30624241
741.9521088,1029.031485,4.606491542,4.297732398
740.2199437,1027.491638,4.640430957,4.290556055
738.4869462,1025.952799,4.654566053,4.281833185
736.7531343,1024.41495,4.662323609,4.25755919
735.0185258,1022.878072,4.668827306,4.234542889
733.2831388,1021.342147,4.674102655,4.212758585
731.546991,1019.807157,4.678175171,4.192180585
729.8101005,1018.273083,4.681070363,4.172783206
728.0724853,1016.739908,4.682813743,4.158980221
726.3341631,1015.207612,4.691442639,4.14946554
724.5951521,1013.676177,4.712042482,4.14105406
722.85547,1012.145586,4.731566875,4.133720126
721.1151349,1010.61582,4.750041348,4.127438086
719.3741646,1009.08686,4.767491431,4.122182293
717.6325772,1007.558689,4.783942649,4.1179271
715.8903904,1006.031288,4.79942053,4.114646868
714.1476224,1004.504638,4.813950597,4.112315956
712.4042909,1002.978722,4.827558375,4.112336209
710.660414,1001.453522,4.840269388,4.113350883
708.9160096,999.9290175,4.852109159,4.115237909
707.1710956,998.4051921,4.863103211,4.117971657
705.4256899,996.8820268,4.873277069,4.121526501
703.6798105,995.3595035,4.874804982,4.125876817
701.9334753,993.8376039,4.867652157,4.130996981
700.1867022,992.3163097,4.859755803,4.136861372
698.4395092,990.7956025,4.851141448,4.14344437
696.6919143,989.275464,4.841834619,4.150720357
694.9439352,987.7558761,4.831860847,4.158663715
693.1955901,986.2368203,4.821245664,4.174185798
691.4468967,984.7182784,4.810014605,4.19039276
689.6978731,983.2002321,4.798193207,4.207189922
687.9485372,981.682663,4.785807009,4.224551668
686.1989069,980.165553,4.772881553,4.242452381
684.4490001,978.6488836,4.759442382,4.260866446
682.6988348,977.1326366,4.745515042,4.279768248
680.948429,975.6167937,4.73050114,4.299132172
679.1978004,974.1013367,4.70855457,4.318932605
677.4469672,972.5862471,4.686196546,4.334788087
675.6959472,971.0715067,4.663452632,4.35076831
673.9447583,969.5570972,4.640348392,4.367108458
672.1934185,968.0430004,4.616909394,4.383782925
670.4419457,966.5291979,4.593161209,4.400766107
668.6903579,965.0156713,4.569129408,4.418032401
666.9386729,963.5024025,4.544839567,4.435556206
665.1869088,961.9893731,4.520317264,4.455006716
663.4350834,960.4765649,4.502984371,4.477325628
661.6832148,958.9639595,4.489611338,4.499824983
659.9313207,957.4515386,4.476082353,4.522479177
658.1794192,955.9392839,4.462422987,4.545262612
656.4275281,954.4271772,4.448658814,4.568149685
654.6756655,952.9152001,4.434815409,4.5911148
652.9238493,951.4033344,4.420918348,4.614132359
651.1720973,949.8915617,4.406993212,4.637176767
649.4204276,948.3798638,4.393065579,4.660222431
647.668858,946.8682223,4.379161032,4.683243757
645.9174065,945.356619,4.365305155,4.706215157
644.166091,943.8450355,4.351523532,4.729111041
642.4149295,942.3334536,4.33784175,4.751905824
640.6639399,940.821855,4.324285398,4.77457392
638.9131401,939.3102213,4.309827283,4.797089746
637.162548,937.7985344,4.294130874,4.819427724
635.4121817,936.2867757,4.278636754,4.841562274
633.662059,934.7749272,4.263370518,4.862026099
631.9121978,933.2629705,4.248357764,4.880290233
630.1626161,931.7508872,4.233624091,4.898274501
